Sesonality	EIR	time_0	time_1	time_2	time_3	time_4	time_5	time_0_1	time_1_1	time_2_1	time_3_1	time_4_1	time_5_1	DAY
sesonality2	1	7.00946271929825	8.00946271929825	9.00946271929825	10.0094627192982	11.0094627192982	12.0094627192982	6	7	8	9	10	11	30
sesonality3	5	8.3057894736842	9.3057894736842	10.3057894736842	11.3057894736842	12.3057894736842	13.3057894736842	7	8	9	10	11	12	30
sesonality3	6	7.97684210526316	8.97684210526316	9.97684210526316	10.9768421052632	11.9768421052632	12.9768421052632	7	8	9	10	11	12	30
sesonality3	7	7.97684210526316	8.97684210526316	9.97684210526316	10.9768421052632	11.9768421052632	12.9768421052632	7	8	9	10	11	12	30
sesonality3	8	8.14131578947368	9.14131578947368	10.1413157894737	11.1413157894737	12.1413157894737	13.1413157894737	7	8	9	10	11	12	30
sesonality3	9	8.05907894736842	9.05907894736842	10.0590789473684	11.0590789473684	12.0590789473684	13.0590789473684	7	8	9	10	11	12	30
sesonality3	10	7.64789473684211	8.64789473684211	9.64789473684211	10.6478947368421	11.6478947368421	12.6478947368421	7	8	9	10	11	12	15
sesonality3	11	7.40118421052633	8.40118421052633	9.40118421052633	10.4011842105263	11.4011842105263	12.4011842105263	7	8	9	10	11	12	15
sesonality3	12	7.73013157894738	8.73013157894738	9.73013157894738	10.7301315789474	11.7301315789474	12.7301315789474	7	8	9	10	11	12	15
sesonality3	13	6.82552631578946	7.82552631578946	8.82552631578946	9.82552631578946	10.8255263157895	11.8255263157895	6	7	8	9	10	11	20
sesonality3	14	6.5	7.5	8.5	9.5	10.5	11.5	6	7	8	9	10	11	20
sesonality3	15	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	16	6.3321052631579	7.3321052631579	8.3321052631579	9.3321052631579	10.3321052631579	11.3321052631579	6	7	8	9	10	11	20
sesonality3	17	6.49657894736843	7.49657894736843	8.49657894736843	9.49657894736843	10.4965789473684	11.4965789473684	6	7	8	9	10	11	20
sesonality3	18	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	19	6.5	7.5	8.5	9.5	10.5	11.5	6	7	8	9	10	11	20
sesonality3	20	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	21	6.57881578947369	7.57881578947369	8.57881578947369	9.57881578947369	10.5788157894737	11.5788157894737	6	7	8	9	10	11	20
sesonality3	22	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	23	6.5	7.5	8.5	9.5	10.5	11.5	6	7	8	9	10	11	20
sesonality3	24	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	25	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	26	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	27	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	28	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	29	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	30	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	31	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	32	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	33	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	34	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	35	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	36	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	37	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	38	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	39	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	40	6.82552631578946	7.82552631578946	8.82552631578946	9.82552631578946	10.8255263157895	11.8255263157895	6	7	8	9	10	11	20
sesonality3	41	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	42	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	43	6.7432894736842	7.7432894736842	8.7432894736842	9.7432894736842	10.7432894736842	11.7432894736842	6	7	8	9	10	11	20
sesonality3	44	6.82552631578946	7.82552631578946	8.82552631578946	9.82552631578946	10.8255263157895	11.8255263157895	6	7	8	9	10	11	20
sesonality3	45	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	46	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	47	6.7432894736842	7.7432894736842	8.7432894736842	9.7432894736842	10.7432894736842	11.7432894736842	6	7	8	9	10	11	20
sesonality3	48	6.66105263157895	7.66105263157895	8.66105263157895	9.66105263157895	10.6610526315789	11.6610526315789	6	7	8	9	10	11	20
sesonality3	49	6.82552631578946	7.82552631578946	8.82552631578946	9.82552631578946	10.8255263157895	11.8255263157895	6	7	8	9	10	11	20
sesonality3	50	6.82552631578946	7.82552631578946	8.82552631578946	9.82552631578946	10.8255263157895	11.8255263157895	6	7	8	9	10	11	20
